Dataset,Reference,Access,N,Age (years),Tesla,Structural MRI contrasts,Min voxel size (mm3),Other MR modalities
"<a href=""https://openneuro.org/datasets/ds005747/versions/1.2.1"" target=""_blank"">Zhang-fMRI</a>","<a href=""https://www.biorxiv.org/content/10.1101/2023.07.20.548178v3.full"" target=""_blank"">Zhang et al, 2025</a>",1.0,90,[18-40],7,T1w,1 x 1 x 1,fMRI
"<a href=""https://openneuro.org/datasets/ds000113/versions/1.3.0"" target=""_blank"">FORRESTGUMP</a>","<a href=""https://www.nature.com/articles/sdata20143"" target=""_blank"">Hanke et al, 2014</a>",,20,[21-38],3,"T1w, T2w, SWI",0.67 x 0.67 x 0.7; 0.67 x 0.67 x 0.7; 0.43 x 0.43 x 0.35,
"<a href=""https://fcon_1000.projects.nitrc.org/indi/abide/databases.html"" target=""_blank"">ABIDE</a>","<a href=""https://www.nature.com/articles/sdata201710"" target=""_blank"">Di Martino et al, 2017</a>",2.0,557,[5-64],3,T1w,0.7 x 0.7 x 0.7,"DWI,fMRI"
"<a href=""https://openneuro.org/datasets/ds004146/versions/1.0.4"" target=""_blank"">QTAB</a>","<a href=""https://www.nature.com/articles/s41597-023-02038-w"" target=""_blank"">Strike et al, 2023</a>",2.0,422,[9-16],3,"T1w, T2w, FLAIR, SWI, ASL",0.8 x 0.8 x 0.8,"DWI,fMRI"
"<a href=""https://biomedia.github.io/dHCP-release-notes/supplementary_files/Guidelines%20downloading%20data%20v3.pdf"" target=""_blank"">dHCP - neonatal</a>","<a href=""https://www.sciencedirect.com/science/article/abs/pii/S1053811913005351?via%3Dihub"" target=""_blank"">Edwards et al, 2022</a>",3.0,783,[0-2],3,"T1w, T2w",0.8 x 0.8 x 0.8,"DWI,fMRI"
"<a href=""https://fcon_1000.projects.nitrc.org/indi/cmi_healthy_brain_network/MRI_EEG.html"" target=""_blank"">CMI-HBN</a>","<a href=""https://www.nature.com/articles/sdata2017181"" target=""_blank"">Alexander et al, 2017</a>",2.0,664,[5-21],3,"T1w, T2w",0.8 x 0.8 x 0.8,"DWI,fMRI"
"<a href=""https://openneuro.org/datasets/ds000224/versions/00002"" target=""_blank"">MSC-Midnight Scan Club</a>","<a href=""https://www.cell.com/neuron/fulltext/S0896-6273(17)30613-X"" target=""_blank"">Gordon et al, 2017</a>",1.0,10,[24-34],3,"T1w, T2w",0.8 x 0.8 x 0.8; 0.8 x 0.8 x 0.8,fMRI
"<a href=""https://portal.conp.ca/dataset?id=projects/mica-mics"" target=""_blank"">MICA-MIC</a>","<a href=""https://www.nature.com/articles/s41597-022-01682-y"" target=""_blank"">Royer et al, 2022</a>",1.0,50,30 ± 6,3,T1w,0.8 x 0.8 x 0.8; 0.8 x 0.8 x 0.8,"DWI, fMRI"
"<a href=""http://datasets.datalad.org/?dir=/labs/haxby/raiders"" target=""_blank"">RAIDERS-Darmouth</a>","<a href=""https://pmc.ncbi.nlm.nih.gov/articles/PMC3201764/"" target=""_blank"">Haxby et al, 2012</a>",1.0,11,average 25,3,T1w,0.938 x 0.938 x 1,fMRI
"<a href=""https://openneuro.org/datasets/ds000221/versions/00002"" target=""_blank"">MPI-LMBB LEMON M&C</a>","<a href=""https://www.nature.com/articles/sdata2018308"" target=""_blank"">Babayan et al, 2019</a>",1.0,321,[20-35;59-77],3,"T1w, T2w, SWI, QSM",1 x 1 x 1; 1 x 1 x 1,"DWI,fMRI"
"<a href=""https://www.massive-data.org/"" target=""_blank"">MASSIVE</a>","<a href=""https://onlinelibrary.wiley.com/doi/10.1002/mrm.26259"" target=""_blank"">Froeling et al, 2016</a>",1.0,1,25,3,"T1w, T2w, FLAIR",1 x 1 x 1,DWI
"<a href=""https://openneuro.org/datasets/ds005752/versions/2.1.0"" target=""_blank"">NIMH</a>","<a href=""https://www.nature.com/articles/s41597-022-01623-9"" target=""_blank"">Nugent et al, 2022</a>",1.0,1859,[18-90],3,"T1w, T2w",1 x 1 x 1; 1 x 1 x 1,"DWI, fMRI"
"<a href=""https://openneuro.org/datasets/ds004856/versions/1.3.0"" target=""_blank"">CAM-CAN</a>","<a href=""https://link.springer.com/article/10.1186/s12883-014-0204-1"" target=""_blank"">Shafto et al, 2014</a>",2.0,656,[18-87],3,"T1w,T2w",1 x 1 x 1; 1 x 1 x 1,DWI
"<a href=""https://osf.io/yfms7/overview"" target=""_blank"">Multi Echo QSM</a>","<a href=""https://www.sciencedirect.com/science/article/pii/S1053811922006371?via%3Dihub"" target=""_blank"">Shi et al, 2022</a>",1.0,8,N/S,3,QSM,1 × 1 × 1,
"<a href=""https://www.nbdc-datahub.org/data-tools-lasso"" target=""_blank"">ABCD</a>","<a href=""https://www.sciencedirect.com/science/article/pii/S1878929319302932"" target=""_blank"">Marek et al, 2019</a>",3.0,11875,[9-16],3,T1w,1 x 1 x 1,"DWI,fMRI"
"<a href=""http://fcon_1000.projects.nitrc.org/indi/enhanced/"" target=""_blank"">NKI-RS</a>","<a href=""https://www.nature.com/articles/s41597-022-01329-y"" target=""_blank"">Tobe et al, 2022</a>",2.0,1500,[6-85],3,T1w,1 x 1 x 1,
"<a href=""https://nilab-uva.github.io/AOMIC.github.io/"" target=""_blank"">AOMIC</a>","<a href=""https://www.nature.com/articles/s41597-021-00870-6"" target=""_blank"">Snoek et al, 2021</a>",1.0,1370,[18-26],3,T1w,1 x 1 x 1,"DWI, fMRI"
"<a href=""http://fcon_1000.projects.nitrc.org/indi/retro/sald.html"" target=""_blank"">SALD</a>","<a href=""https://www.nature.com/articles/sdata2018134"" target=""_blank"">Wei et al, 2018</a>",2.0,494,[18-80],3,T1w,1 x 1 x 1,fMRI
"<a href=""https://openneuro.org/datasets/ds004856/versions/1.3.0"" target=""_blank"">DLBS</a>","<a href=""https://www.nature.com/articles/s41597-025-04847-7"" target=""_blank"">Park et al, 2025</a>",,464,[21-89],3,T1w,1 x 1 x 1,DWI
"<a href=""https://www.nitrc.org/projects/age-ility/"" target=""_blank"">AGE-ILITY</a>","<a href=""https://www.sciencedirect.com/science/article/abs/pii/S105381191500347X?via%3Dihub"" target=""_blank"">Karayanidis et al, 2016</a>",1.0,131,[15-35],3,T1w,1 x 1 x 1,"DWI,fMRI"
"<a href=""https://figshare.com/articles/PTBP_Nifti/1190933"" target=""_blank"">PTBP</a>","<a href=""https://www.nature.com/articles/sdata20153"" target=""_blank"">Avants et al, 2015</a>",1.0,120,[7-18],3,T1w,1 x 1 x 1,
"<a href=""https://openneuro.org/datasets/ds000258/versions/1.0.1"" target=""_blank"">Multi-echo Cambridge</a>","<a href=""https://www.biorxiv.org/content/10.1101/2023.07.20.548178v3.full"" target=""_blank"">Power et al, 2018</a>",1.0,89,33 ± 13,3,T1w,1 x 1 x 1,fMRI
"<a href=""https://fcon_1000.projects.nitrc.org/indi/retro/cobre.html"" target=""_blank"">COBRE</a>","<a href=""https://pmc.ncbi.nlm.nih.gov/articles/PMC3254121/"" target=""_blank"">Calhoun et al, 2012</a>",2.0,75,[18-66],3,T1w,1 x 1 x 1,fMRI
